Parikinson's Disease GWAS					
Reported Trait	Trait(s)	Variant and risk allele	Study accession	Mapped gene	P-Value
Parkinson's disease (age at diagnosis)	"Parkinson's disease, age at diagnosis"	rs73656147-?	GCST007198	"	PLPPR1"	9 x 10^-9
Parkinson's disease	Parkinson's disease	rs6599388-T	GCST000959	TMEM175	4 x 10^-12
Parkinson's disease	Parkinson's disease	rs11724635-A	GCST000959	BST1	1 x 10^-16
Parkinson's disease	Parkinson's disease	rs1491942-G	GCST000959	"	LRRK2"	6 x 10^-14
Parkinson's disease	Parkinson's disease	rs34372695-T	GCST000959	"RAB25, LAMTOR2"	4 x 10^-12
Parkinson's disease	Parkinson's disease	rs6710823-G	GCST000959	CCNT2-AS1	7 x 10^-9
Parkinson's disease	Parkinson's disease	rs11711441-G	GCST000959	MCCC1	8 x 10^-12
Parkinson's disease	Parkinson's disease	rs356219-G	GCST000959	"SNCA, AC093866.1"	2 x 10^-47
Parkinson's disease	Parkinson's disease	rs2102808-C	GCST000959	"RN7SL813P, STK39"	4 x 10^-10
Parkinson's disease	Parkinson's disease	6:32588205-A	GCST000959	-	2 x 10^-14
Parkinson's disease	Parkinson's disease	rs12817488-T	GCST000959	"	CCDC62"	3 x 10^-13
Parkinson's disease	Parkinson's disease	rs356220-T	GCST000772	"AC093866.1, SNCA"	3 x 10^-11
Parkinson's disease	Parkinson's disease	rs11248051-T	GCST000772	GAK	3 x 10^-9
Parkinson's disease	Parkinson's disease	rs199533-C	GCST000772	"	NSF"	1 x 10^-6
Parkinson's disease	Parkinson's disease	"rs7702187-?	"	GCST000002	SEMA5A	"8 x 10^-6	"
Parkinson's disease	Parkinson's disease	rs1480597-?	GCST000005	"TMEM72-AS1, AL356157.1"	2 x 10^-6
Parkinson's disease	Parkinson's disease	rs2242330-?	GCST000005	STAP1	2 x 10^-6
Parkinson's disease	Parkinson's disease	rs10501570-?	GCST000005	DLG2	7 x 10^-6
Parkinson's disease	Parkinson's disease	rs11931074-?	GCST000530	"	AC093866.1, SNCA"	"	7 x 10^-17"
Parkinson's disease	Parkinson's disease	rs4538475-?	GCST000530	BST1	3 x 10^-9
Parkinson's disease	Parkinson's disease	rs1994090-?	GCST000530	SLC2A13	"	3 x 10^-8"
Parkinson's disease	Parkinson's disease	rs947211-?	GCST000530	AC119673.2	2 x 10^-12
Parkinson's disease (familial)	Parkinson's disease	rs1564282-T	GCST000261	GAK	"	7 x 10^-7"
Parkinson's disease	Parkinson's disease	rs11012-T	GCST000567	PLEKHM1	6 x 10^-8
Parkinson's disease	Parkinson's disease	rs12063142-?	GCST000567	"PAX7, TAS1R2"	5 x 10^-7
Parkinson's disease	Parkinson's disease	rs4837628-A	GCST000567	"	BRINP1"	1 x 10^-6
Parkinson's disease	Parkinson's disease	rs11248060-?	GCST000567	DGKQ	"	2 x 10^-6"
Parkinson's disease	Parkinson's disease	rs10464059-A	GCST000567	"GFPT2, AC034213.1"	3 x 10^-6
Parkinson's disease	Parkinson's disease	rs2736990-?	GCST000567	"	SNCA"	7 x 10^-8
Parkinson's disease	Parkinson's disease	rs6812193-C	GCST001126	"FAM47E-STBD1, AC034139.1, FAM47E"	"	8 x 10^-10"
Parkinson's disease	Parkinson's disease	rs356220-T	GCST001126	"AC093866.1, SNCA"	"	2 x 10^-19"
Parkinson's disease	Parkinson's disease	rs12185268-A	GCST001126	"MAPT-AS1, SPPL2C"	"	3 x 10^-14"
Parkinson's disease	Parkinson's disease	rs10513789-T	GCST001126	"	MCCC1"	3 x 10^-10
Parkinson's disease	Parkinson's disease	rs6599389-A	GCST001126	TMEM175	4 x 10^-8
Parkinson's disease	Parkinson's disease	rs4130047-C	GCST001126	"	RIT2"	2 x 10^-7
Parkinson's disease	Parkinson's disease	rs11868035-G	GCST001126	"	SREBF1"	"	6 x 10^-8"
Parkinson's disease	Parkinson's disease	rs34637584-A	GCST001126	LRRK2	2 x 10^-28
Parkinson's disease	Parkinson's disease	i4000416-C	GCST001126	-	5 x 10^-21
Parkinson's disease	Parkinson's disease	rs823156-A	GCST001126	"	SLC41A1"	1 x 10^-7
Parkinson's disease	Parkinson's disease	rs2823357-A	GCST001126	AJ009632.2	6 x 10^-7
Parkinson's disease	Parkinson's disease	rs183211-T	GCST001189	"	NSF"	3 x 10^-7
Parkinson's disease	Parkinson's disease	rs10121009-A	GCST001189	UNC13B	3 x 10^-6
Parkinson's disease	Parkinson's disease	rs415430-T	GCST001189	WNT3	7 x 10^-7
Parkinson's disease	Parkinson's disease	rs7118648-G	GCST002077	CCDC82	2 x 10^-7
Parkinson's disease	Parkinson's disease	rs3935740-T	GCST002077	"	TMC3-AS1, TMC3"	"	2 x 10^-7"
Parkinson's disease	Parkinson's disease	rs17497526-G	GCST002077	COL13A1	"	6 x 10^-7"
Parkinson's disease	Parkinson's disease	kgp8090149-?	GCST003059	-	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	rs849898-?	GCST003059	"	WNT9A, CICP26"	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	kgp11353523-?	GCST003059	-	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	rs11186-?	GCST003059	"	COL5A2"	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	kgp760898-?	GCST003059	-	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	rs6783485-?	GCST003059	"	AC126121.3"	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	rs1879553-?	GCST003059	"AC068633.1, IGSF11"	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	kgp9482779-?	GCST003059	-	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	rs13153459-?	GCST003059	LINC02224	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	kgp154172-?	GCST003059	-	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	kgp4105983-?	GCST003059	-	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	rs10746953-?	GCST003059	"	AL355674.1, AL513124.1"	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	kgp10769919-?	GCST003059	-	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	kgp6542803-?	GCST003059	-	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	kgp9550589-?	GCST003059	-	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	rs9323124-?	GCST003059	"RPA2P1, MDGA2"	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	kgp11333367-?	GCST003059	-	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	rs1362858-?	GCST003059	"	AC007998.3, AC007998.4"	"	1 x 10^-6"
Parkinson's disease	Parkinson's disease	kgp4156164-?	GCST003059	-	"	1 x 10^-6"
"Parkinson's disease (familial, age at onset)"	"Parkinson's disease, age at onset"	rs344650-G	GCST003652	"	LHFPL2"	"	1 x 10^-11"
"Parkinson's disease (familial, age at onset)"	"Parkinson's disease, age at onset"	rs74335301-?	GCST003652	TRPS1	3 x 10^-6
"Parkinson's disease (familial, age at onset)"	"Parkinson's disease, age at onset"	rs79503702-?	GCST003652	KLHDC1	"	5 x 10^-8"
"Parkinson's disease (familial, age at onset)"	"Parkinson's disease, age at onset"	rs117267308-A	GCST003652	TPM1	"	9 x 10^-11"
Parkinson's disease	Parkinson's disease	rs2338971-C	GCST002353	"	LINC01709, LINC01307"	4 x 10^-10
Parkinson's disease	Parkinson's disease	rs356220-T	GCST002353	"AC093866.1, SNCA"	1 x 10^-9
Parkinson's disease	Parkinson's disease	rs356220-T	GCST002353	"AC093866.1, SNCA"	"	3 x 10^-11"
Parkinson's disease	Parkinson's disease	rs3129882-G	GCST002353	HLA-DRA	"	3 x 10^-8"
Parkinson's disease	Parkinson's disease	rs3129882-G	GCST002353	HLA-DRA	5 x 10^-10
Parkinson's disease	Parkinson's disease	rs199498-T	GCST002353	WNT3	"	2 x 10^-6"
Parkinson's disease	Parkinson's disease	rs199498-T	GCST002353	WNT3	8 x 10^-7
Parkinson's disease	Parkinson's disease	rs2338971-C	GCST002353	"	LINC01709, LINC01307"	5 x 10^-10
Parkinson's disease	Parkinson's disease	rs591323-G	GCST004902	AC011586.2	2 x 10^-11
Parkinson's disease	Parkinson's disease	rs117896735-A	GCST004902	INPP5F	"	2 x 10^-19"
Parkinson's disease	Parkinson's disease	rs3793947-G	GCST004902	DLG2	4 x 10^-9
Parkinson's disease	Parkinson's disease	rs329648-T	GCST004902	"AP001979.1, IGSF9B"	1 x 10^-13
Parkinson's disease	Parkinson's disease	rs17767294-G	GCST004902	"ZSCAN16-AS1, ZNF165"	2 x 10^-7
Parkinson's disease	Parkinson's disease	rs943437-A	GCST004902	"LINC02527, CCN6"	6 x 10^-8
Parkinson's disease	Parkinson's disease	rs1555399-T	GCST004902	"	TMEM229B"	1 x 10^-10
Parkinson's disease	Parkinson's disease	rs2414739-A	GCST004902	AC018618.1	4 x 10^-14
Parkinson's disease	Parkinson's disease	rs14235-A	GCST004902	BCKDK	5 x 10^-12
Parkinson's disease	Parkinson's disease	rs17649553-C	GCST004902	MAPT	1 x 10^-68
Parkinson's disease	Parkinson's disease	rs12456492-G	GCST004902	RIT2	6 x 10-^16
Parkinson's disease	Parkinson's disease	rs62120679-T	GCST004902	"	TMPRSS9"	7 x 10^-7
Parkinson's disease	Parkinson's disease	rs8118008-A	GCST004902	"DDRGK1, LZTS3"	2 x 10^-6
Parkinson's disease	Parkinson's disease	rs4653767-T	GCST004902	ITPKB	2 x 10^-11
Parkinson's disease	Parkinson's disease	rs34043159-C	GCST004902	MAP4K4	5 x 10^-11
Parkinson's disease	Parkinson's disease	rs353116-C	GCST004902	SCN2A	3 x 10^-8
Parkinson's disease	Parkinson's disease	rs6430538-C	GCST004902	CCNT2-AS1	8 x 10^-24
Parkinson's disease	Parkinson's disease	rs12497850-T	GCST004902	IP6K2	9 x 10^-9
Parkinson's disease	Parkinson's disease	rs143918452-A	GCST004902	ITIH1	3 x 10^-8
Parkinson's disease	Parkinson's disease	rs78738012-C	GCST004902	"CAMK2D, RNU1-138P"	5 x 10^-11
Parkinson's disease	Parkinson's disease	rs6812193-C	GCST004902	"FAM47E-STBD1, AC034139.1, FAM47E"	1 x 10^-14
Parkinson's disease	Parkinson's disease	rs9468199-A	GCST004902	"AL009179.1, GPR89P"	1 x 10^-12
Parkinson's disease	Parkinson's disease	rs9275326-C	GCST004902	"MTCO3P1, HLA-DQB1"	1 x 10^-13
Parkinson's disease	Parkinson's disease	rs2280104-T	GCST004902	"	BIN3"	3 x 10^-8
Parkinson's disease (pesticide exposure interaction)	"Parkinson's disease, pesticide exposure measurement"	rs67383717-?	GCST003600	LINC00476	2 x 10^-6
Parkinson's disease	Parkinson's disease	rs10929159-A	"	GCST004902"	"	AGAP1"	"	7 x 10^-8"
Parkinson's disease	Parkinson's disease	rs67460515-C	"	GCST004902"	SPTSSB	1 x 10^-6
Parkinson's disease	Parkinson's disease	rs10463554-T	"	GCST004902"	PAM	2 x 10^-7
Parkinson's disease	Parkinson's disease	rs76904798-T	"	GCST004902"	"	LRRK2, LRRK2-DT"	1 x 10^-19
Parkinson's disease	Parkinson's disease	rs11060180-A	"	GCST004902"	CCDC62	2 x 10^-20
Parkinson's disease	Parkinson's disease	rs11158026-C	"	GCST004902"	GCH1	4 x 10^-16
Parkinson's disease	Parkinson's disease	rs2921073-C	"	GCST004902"	"	AC103957.1, AC103957.2"	1 x 10^-7
Parkinson's disease	Parkinson's disease	rs2296887-C	"	GCST004902"	"	GBF1"	2 x 10^-7
Parkinson's disease	Parkinson's disease	rs9568188-T	"	GCST004902"	"	CAB39L"	"	4 x 10^-7"
Parkinson's disease	Parkinson's disease	rs9516970-A	"	GCST004902"	"PSMA6P4, AL359502.1"	5 x 10^-7
Parkinson's disease	Parkinson's disease	rs8017172-G	"	GCST004902"	"	AL355773.1, KTN1"	2 x 10^-7
Parkinson's disease	Parkinson's disease	rs316619-C	"	GCST004902"	LTK	7 x 10^-6
Parkinson's disease	Parkinson's disease	rs5910-C	"	GCST004902"	ITGA2B	4 x 10^-6
Parkinson's disease	Parkinson's disease	rs6416935-G	"	GCST004902"	"AC008158.1, MED13"	4 x 10^-7
Parkinson's disease	Parkinson's disease	rs35749011-A	"	GCST004902"	"HMGN2P18, KRTCAP2"	"	3 x 10^-35"
Parkinson's disease	Parkinson's disease	rs823118-T	"	GCST004902"	"RAB29, NUCKS1"	1 x 10^-23
Parkinson's disease	Parkinson's disease	rs10797576-T	"	GCST004902"	"	SIPA1L2"	8 x 10^-13
Parkinson's disease	Parkinson's disease	rs4073221-G	"	GCST004902"	TBC1D5	2 x 10^-8
Parkinson's disease	Parkinson's disease	rs1474055-T	"	GCST004902"	"RN7SL813P, STK39"	"	6 x 10^-26"
Parkinson's disease	Parkinson's disease	rs12637471-G	"	GCST004902"	MCCC1	"	2 x 10^-30"
Parkinson's disease	Parkinson's disease	rs34311866-C	"	GCST004902"	TMEM175	1 x 10^-50
Parkinson's disease	Parkinson's disease	rs11724635-A	"	GCST004902"	"	BST1"	"	1 x 10^-19"
Parkinson's disease	Parkinson's disease	rs2694528-C	"	GCST004902"	NDUFAF2	5 x 10^-15
Parkinson's disease	Parkinson's disease	rs356182-G	"	GCST004902"	"AC093866.1, SNCA"	5 x 10^-123
Parkinson's disease	Parkinson's disease	rs2740594-A	"	GCST004902"	CTSB	6 x 10^-12
Parkinson's disease	Parkinson's disease	rs199347-A	"	GCST004902"	"	GPNMB"	4 x 10^-18
Parkinson's disease	Parkinson's disease	rs13294100-G	"	GCST004902"	SH3GL2	5 x 10^-13
Parkinson's disease	Parkinson's disease	rs10906923-A	"	GCST004902"	ITGA8	1 x 10^-8
Parkinson's disease	Parkinson's disease	rs8005172-T	"	GCST004902"	GPR65	9 x 10^-11
Parkinson's disease	Parkinson's disease	rs11343-T	"	GCST004902"	SYT17	9 x 10^-11
Parkinson's disease	Parkinson's disease	rs4784227-T	GCST004902	CASC16	1 x 10^-10
Parkinson's disease	Parkinson's disease	rs2942168-G	GCST000959	"LINC02210-CRHR1, LINC02210"	1 x 10^-28
Parkinson's disease	Parkinson's disease	rs356220-T	GCST000874	"AC093866.1, SNCA"	3 x 10^-8
Parkinson's disease	Parkinson's disease	rs4698412-A	GCST000874	BST1	2 x 10^-6
Parkinson's disease	Parkinson's disease	rs4964469-A	GCST000874	AC079385.1	2 x 10^-7
Parkinson's disease	Parkinson's disease	rs3129882-G	GCST000772	HLA-DRA	2 x 10^-10
Parkinson's disease	Parkinson's disease	rs2839398-?	GCST001430	PRDM15	5 x 10^-6
Parkinson's disease	Parkinson's disease	rs356220-?	GCST001430	"AC093866.1, SNCA"	8 x 10^-35
Parkinson's disease	Parkinson's disease	rs9917256-?	GCST001430	"STK39, RN7SL813P"	3 x 10^-6
Parkinson's disease	Parkinson's disease	rs4698412-?	GCST001430	BST1	3 x 10^-7
Parkinson's disease	Parkinson's disease	rs2275336-?	GCST001430	"AL357075.4, CNKSR3"	9 x 10^-7
Parkinson's disease	Parkinson's disease	rs2395163-?	GCST001430	"TSBP1-AS1, HLA-DRA"	"	3 x 10^-11"
Parkinson's disease	Parkinson's disease	rs12726330-?	GCST001430	SLC50A1	5 x 10^-8
Parkinson's disease	Parkinson's disease	rs6430538-?	GCST001430	CCNT2-AS1	2 x 10^-7
Parkinson's disease	Parkinson's disease	rs11248060-?	GCST001430	DGKQ	3 x 10^-9
Parkinson's disease	Parkinson's disease	rs1296028-?	GCST001430	"	FDFT1, CTSB"	1 x 10^-6
Parkinson's disease	Parkinson's disease	rs1536076-?	GCST001430	SH3GL2	5 x 10^-7
Parkinson's disease	Parkinson's disease	rs11026412-?	GCST001430	"AC116534.1, ANO5"	3 x 10^-6
Parkinson's disease	Parkinson's disease	rs10877840-?	GCST001430	SLC2A13	1 x 10^-6
Parkinson's disease	Parkinson's disease	rs10519131-?	GCST001430	AC018618.1	1 x 10^-6
Parkinson's disease	Parkinson's disease	rs11865038-?	GCST001430	"AC135050.2, PRSS53, ZNF646"	4 x 10^-7
Parkinson's disease	Parkinson's disease	rs199515-?	GCST001430	WNT3	3 x 10^-17
Parkinson's disease	Parkinson's disease	rs12456492-?	GCST001430	RIT2	2 x 10^-10
Parkinson's disease (age of onset)	"Parkinson's disease, age at onset"	rs1941184-C	GCST000490	DSG3	4 x 10^-6
Parkinson's disease (age of onset)	"Parkinson's disease, age at onset"	rs17565841-A	GCST000490	"AC021979.2, OCA2"	3 x 10^-6
Parkinson's disease (age of onset)	"Parkinson's disease, age at onset"	rs10918270-A	GCST000490	ATF6	8 x 10^-6
Parkinson's disease (age of onset)	"Parkinson's disease, age at onset"	rs10767971-T	GCST000490	"QSER1, PRRG4"	5 x 10^-7
Parkinson's disease (age of onset)	"Parkinson's disease, age at onset"	rs7577851-T	GCST000490	AAK1	9 x 10^-6
Parkinson's disease	Parkinson's disease	rs1442190-?	GCST002455	CNTN1	2 x 10^-27
Parkinson's disease	Parkinson's disease	rs17577094-?	GCST002455	KANSL1	8 x 10^-9
Parkinson's disease	Parkinson's disease	rs1630500-?	GCST002455	"PMVK, KCNN3"	2 x 10^-8
Parkinson's disease	Parkinson's disease	rs823114-?	GCST002455	"	RAB29, NUCKS1"	3 x 10^-6
Parkinson's disease	Parkinson's disease	rs2270968-G	GCST003922	MCCC1	3 x 10^-8
Parkinson's disease	Parkinson's disease	rs8180209-?	GCST003922	"SNCA, AC093866.1"	1 x 10^-32
Parkinson's disease	Parkinson's disease	rs1384236-C	GCST003922	SLC2A13	8 x 10-12
Parkinson's disease	Parkinson's disease	rs7479949-?	GCST003922	DLG2	6 x 10^-8
Parkinson disease and lewy body pathology	"Parkinson's disease, Lewy body measurement"	rs997277-?	GCST002778	"AC092598.1, COL3A1"	5 x 10^-8
Parkinson disease and lewy body pathology	"Parkinson's disease, Lewy body measurement"	rs10788972-?	GCST002778	TCEANC2	6 x 10^-8
Parkinson disease and lewy body pathology	"Parkinson's disease, Lewy body measurement"	rs78736162-?	GCST002778	MX2	"	3 x 10^-7"
Parkinson disease and lewy body pathology	"Parkinson's disease, Lewy body measurement"	rs6465122-T	GCST002778	ZP3	7 x 10^-7
Parkinson disease and lewy body pathology	"Parkinson's disease, Lewy body measurement"	rs12921479-?	GCST002778	"TRAPPC2L, PABPN1L"	9 x 10^-7
Parkinson disease and lewy body pathology	"Parkinson's disease, Lewy body measurement"	rs141863958-?	GCST002778	KCNIP4	1 x 10^-6
Parkinson disease and lewy body pathology	"Parkinson's disease, Lewy body measurement"	rs816535-C	GCST002778	"MIR663AHG, FRG1CP"	1 x 10^-6
Parkinson disease and lewy body pathology	"Parkinson's disease, Lewy body measurement"	rs7984966-?	GCST002778	"HTR2A, HTR2A-AS1"	2 x 10^-6
Parkinson disease and lewy body pathology	"Parkinson's disease, Lewy body measurement"	rs4778720-?	GCST002778	"	AC026826.3, AC023968.1"	2 x 10^-6
Parkinson disease and lewy body pathology	"Parkinson's disease, Lewy body measurement"	rs12959200-?	GCST002778	"	AC079070.1, LINC02582"	2 x 10^-6
"Parkinson's disease	"	"Parkinson's disease	"	rs1223271-G	GCST000528	"AL121782.1, ISM1"	5 x 10^-6
"Parkinson's disease	"	"Parkinson's disease	"	rs6812193-C	GCST000528	"	FAM47E-STBD1, AC034139.1, FAM47E"	4 x 10^-7
"Parkinson's disease	"	"Parkinson's disease	"	rs7077361-T	GCST000528	ITGA8	5 x 10^-6
"Parkinson's disease	"	"Parkinson's disease	"	rs2736990-C	GCST000528	SNCA	2 x 10^-16
"Parkinson's disease	"	"Parkinson's disease	"	rs199533-C	GCST000528	NSF	1 x 10^-14
"Parkinson's disease	"	"Parkinson's disease	"	rs393152-A	GCST000528	"LINC02210-CRHR1, LINC02210"	2 x 10^-16
"Parkinson's disease	"	"Parkinson's disease	"	rs823128-A	GCST000528	NUCKS1	7 x 10^-8
"Parkinson's disease	"	"Parkinson's disease	"	rs17115100-G	GCST000528	"CYP17A1, WBP1L"	7 x 10^-8
"Parkinson's disease	"	"Parkinson's disease	"	rs6532197-G	GCST000528	"MMRN1, SNCA-AS1"	1 x 10^-7
"Parkinson's disease	"	"Parkinson's disease	"	rs12431733-T	GCST000528	"	AL365295.1, LINC02331"	3 x 10^-6
"Parkinson's disease	"	"Parkinson's disease	"	rs34778348-?	GCST001445	LRRK2	3 x 10^-21
"Parkinson's disease	"	"Parkinson's disease	"	rs1491942-?	GCST001445	LRRK2	6 x 10^-15
"Parkinson's disease	"	"Parkinson's disease	"	rs11248060-?	GCST001445	DGKQ	3 x 10^-12
"Parkinson's disease	"	"Parkinson's disease	"	H1H2-?	GCST001445	-	"	8 x 10^-52"
"Parkinson's disease	"	"Parkinson's disease	"	rs356219-?	GCST001445	"SNCA, AC093866.1"	6 x 10^-65
"Parkinson's disease	"	"Parkinson's disease	"	rs6532194-?	GCST001445	"SNCA-AS1, MMRN1"	5 x 10^-11
"Parkinson's disease	"	"Parkinson's disease	"	rs6532194-?	GCST000855	MAPT	7 x 10^-12
"Parkinson's disease	"	"Parkinson's disease	"	rs7617877-A	GCST000855	"RBMS3, AC098650.1	"	3 x 10^-6
"Parkinson's disease	"	"Parkinson's disease	"	rs356220-A	GCST000855	"AC093866.1, SNCA"	"	9 x 10^-16"
"Parkinson's disease	"	"Parkinson's disease	"	rs11158026-C	GCST002544	GCH1	6 x 10^-11
"Parkinson's disease	"	"Parkinson's disease	"	rs1555399-T	GCST002544	TMEM229B	7 x 10^-14
"Parkinson's disease	"	"Parkinson's disease	"	rs2414739-A	GCST002544	AC018618.1	1 x 10^-11
"Parkinson's disease	"	"Parkinson's disease	"	rs14235-A	GCST002544	"	BCKDK"	2 x 10^-12
"Parkinson's disease	"	"Parkinson's disease	"	rs17649553-C	GCST002544	MAPT	2 x 10^-48
"Parkinson's disease	"	"Parkinson's disease	"	rs12456492-G	GCST002544	RIT2	8 x 10^-12
"Parkinson's disease	"	"Parkinson's disease	"	rs62120679-T	GCST002544	TMPRSS9	6 x 10^-7
"Parkinson's disease	"	"Parkinson's disease	"	rs8118008-A	GCST002544	"DDRGK1, LZTS3"	3 x 10^-11
"Parkinson's disease	"	"Parkinson's disease	"	rs591323-G	GCST002544	"	AC011586.2"	"	7 x 10^-8"
"Parkinson's disease	"	"Parkinson's disease	"	rs35749011-A	GCST002544	"	HMGN2P18, KRTCAP2"	1 x 10^-29
"Parkinson's disease	"	"Parkinson's disease	"	rs823118-T	GCST002544	"RAB29, NUCKS1"	2 x 10^-16
"Parkinson's disease	"	"Parkinson's disease	"	rs10797576-T	GCST002544	SIPA1L2	5 x 10^-10
"Parkinson's disease	"	"Parkinson's disease	"	rs6430538-C	GCST002544	CCNT2-AS1	"	9 x 10^-20"
